Current_State,Recommended_Action,Predicted_Next_State,Reward,Projected_Energy_Saving (%),Confidence (%),Confidence_Level
0.6-0.6-0.6,Do Nothing,"(0.6, 0.6, 0.6)",0.0,0.0,0.0,Low
0.6-0.7-0.4,Reduce HVAC,"(0.4, 0.7, 0.5)",0.13,33.33,100.0,High
0.7-0.0-0.3,Check Equipment,"(0.5, 0.0, 0.3)",0.2,28.57,100.0,High
0.7-0.0-0.4,Check Equipment,"(0.5, 0.0, 0.4)",0.2,28.57,50.0,Medium
0.7-0.0-0.5,Do Nothing,"(0.7, 0.0, 0.5)",0.0,0.0,0.0,Low
0.7-0.0-0.6,Do Nothing,"(0.7, 0.0, 0.6)",0.0,0.0,0.0,Low
0.7-0.0-0.7,Check Equipment,"(0.5, 0.0, 0.7)",0.2,28.57,100.0,High
0.7-0.0-0.8,Do Nothing,"(0.7, 0.0, 0.8)",0.0,0.0,0.0,Low
0.7-0.0-0.9,Reduce Lighting,"(0.5, 0.0, 0.9)",0.2,28.57,100.0,High
0.7-0.1-0.4,Do Nothing,"(0.7, 0.1, 0.4)",0.0,0.0,0.0,Low
0.7-0.1-0.5,Do Nothing,"(0.7, 0.1, 0.5)",0.0,0.0,0.0,Low
0.7-0.1-0.6,Reduce HVAC,"(0.4, 0.1, 0.7)",0.29,42.86,100.0,High
0.7-0.1-0.7,Reduce Lighting,"(0.5, 0.1, 0.7)",0.2,28.57,100.0,High
0.7-0.1-0.8,Check Equipment,"(0.5, 0.1, 0.8)",0.2,28.57,100.0,High
0.7-0.2-0.4,Reduce HVAC,"(0.4, 0.2, 0.5)",0.28,42.86,100.0,High
0.7-0.2-0.5,Do Nothing,"(0.7, 0.2, 0.5)",0.0,0.0,0.0,Low
0.7-0.2-0.6,Do Nothing,"(0.7, 0.2, 0.6)",0.0,0.0,0.0,Low
0.7-0.2-0.7,Do Nothing,"(0.7, 0.2, 0.7)",0.0,0.0,0.0,Low
0.7-0.2-0.8,Do Nothing,"(0.7, 0.2, 0.8)",0.0,0.0,0.0,Low
0.7-0.3-0.3,Check Equipment,"(0.5, 0.3, 0.3)",0.2,28.57,100.0,High
0.7-0.3-0.4,Reduce HVAC,"(0.4, 0.3, 0.5)",0.27,42.86,80.94,High
0.7-0.3-0.5,Do Nothing,"(0.7, 0.3, 0.5)",0.0,0.0,0.0,Low
0.7-0.3-0.6,Do Nothing,"(0.7, 0.3, 0.6)",0.0,0.0,0.0,Low
